"Name", "NativeName", "QualityOfLifeIndex"
"Israel", "יִשְרָאֵל", 144.7432665507357
"Panama", "Panama", 111.75591845162224
"Jordan", "الأردن", 113.09982294447309
"Kuwait", "الكويت", 114.87638439670343
"Lebanon", "الجمهورية اللبنانية", 99.54495689146097
"Maldives", "ދިވެހިރާއްޖޭގެ ޖުމުހޫރިއްޔާ", 85.25854119799678
"Malaysia", "Malaysia", 116.34527835211927
"Nepal", "नेपाल", 94.64074320147725
"Oman", "سلطنة عُمان", 170.6934525436248
"Pakistan", "پاکستان", 102.72516805424128
"Qatar", "قطر", 151.73741755919747
"Saudi Arabia", "المملكة العربية السعودية", 146.82037555610344
"Sri Lanka", "ශ්‍රී ලංකා ප්‍රජාතාන්ත්‍රික සමාජවාදී ජනරජය", 71.9450665759703
"Syria", "الجمهورية العربية السورية", 26.10035584610169
"Taiwan", "中華民國", 140.56212626923775
"Thailand", "ประเทศไทย", 100.39510961205949
"United Arab Emirates", "الإمارات العربية المتحدة", 158.477062387552
"Vietnam", "Việt Nam", 89.56495260553969
"South Korea", "대한민국", 124.25376412362618
"Bangladesh", "গণপ্রজাতন্ত্রী বাংলাদেশ", 65.60726703207177
"Tanzania", "Jamhuri ya Muungano wa Tanzania", 71.71167040396632
"Philippines", "Republika ng Pilipinas", 78.99703151771224
"Tunisia", "تونس", 113.92524374043083
"Zimbabwe", "Zimbabwe", 86.08825223644132
"Botswana", "Botswana", 96.87554213051732
"Cote d'Ivoire", "Republique de Cote d'Ivoire", 24.34180110229114
"Morocco", "المغرب", 106.06582865969368
"Nigeria", "Nijeriya", 53.08991126223394
"Kingdom of the Netherlands", "Koninkrijk der Nederlanden", 182.53590191323383
"Danish Realm", "Kongeriget Danmark", 188.63566698727936
